ko_id	median_expression_rank	genomes_w_ko	genomes_w_motif	genomes_w_str_motif	percent_genomes_w_ko	avg_motifs_100aa_gc	avg_str_motifs_100aa_gc	a_level	b_level	c_level	description
K00851	2367.5	1546	53.10478655	24.90297542	47.5399754	0.015002675	0.005388068	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	"E2.7.1.12, gntK, idnK; gluconokinase"
K00852	2443	1967	28.87646162	12.04880529	60.48585486	0.002440367	0.000894891	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	"rbsK, RBKS; ribokinase"
K00854	2102	1804	57.8713969	26.6075388	55.47355474	0.002565952	0.000878634	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	"xylB, XYLB; xylulokinase"
K00857	1272.5	1947	12.01848998	2.362609142	59.87084871	0.002710337	0.000432091	Metabolism	Nucleotide metabolism	Pyrimidine metabolism	"tdk, TK; thymidine kinase"
K00858	1673	3186	24.95291902	11.36220967	97.9704797	0.002913444	0.001191896	Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism	"ppnK, NADK; NAD+ kinase"
K00859	2272	3184	14.29020101	7.914572864	97.90897909	0.002717261	0.001383788	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis	coaE; dephospho-CoA kinase
K00860	2120	860	23.13953488	7.441860465	26.44526445	0.00617506	0.001803367	Metabolism	Energy metabolism	Sulfur metabolism	cysC; adenylylsulfate kinase
K00864	984	2614	16.48814078	5.700076511	80.38130381	0.000559435	0.000170271	Metabolism	Lipid metabolism	Glycerolipid metabolism	"glpK, GK; glycerol kinase"
K00865	2368	1524	33.72703412	14.82939633	46.86346863	0.002092568	0.000806981	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	"glxK, garK; glycerate 2-kinase"
K00867	1103	1002	28.64271457	10.27944112	30.81180812	0.002859595	0.001061388	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis	coaA; type I pantothenate kinase
K00868	1496	1192	28.27181208	9.312080537	36.65436654	0.003521485	0.001104955	Metabolism	Metabolism of cofactors and vitamins	Vitamin B6 metabolism	"pdxK, pdxY; pyridoxine kinase"
K00872	1860.5	1707	33.0990041	13.29818395	52.49077491	0.00416572	0.001437078	Metabolism	Amino acid metabolism	"Glycine, serine and threonine metabolism"	thrB; homoserine kinase
K00873	651.5	3140	46.05095541	10.12738854	96.55596556	0.001832709	0.000346893	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	"PK, pyk; pyruvate kinase"
K00874	1872	1740	34.65517241	11.26436782	53.50553506	0.002741056	0.000778383	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	kdgK; 2-dehydro-3-deoxygluconokinase
K00876	1476	1599	27.7673546	9.380863039	49.1697417	0.003729604	0.001127639	Metabolism	Nucleotide metabolism	Pyrimidine metabolism	"udk, UCK; uridine kinase"
K00878	2020.5	1099	13.37579618	3.912647862	33.79458795	0.00155777	0.000394515	Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism	thiM; hydroxyethylthiazole kinase
K00882	1783.25	1138	64.67486819	25.04393673	34.99384994	0.007429538	0.002356382	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism	fruK; 1-phosphofructokinase
K00891	1955.5	2872	25.34818942	15.3551532	88.31488315	0.006438704	0.003360906	Metabolism	Amino acid metabolism	"Phenylalanine, tyrosine and tryptophan biosynthesis"	"aroK, aroL; shikimate kinase"
K00901	2154.5	1637	13.07269395	3.054367746	50.33825338	0.007891607	0.001761106	Metabolism	Lipid metabolism	Glycerolipid metabolism	"dgkA, DGK; diacylglycerol kinase (ATP)"
K00912	2339.5	1839	49.4834149	19.9564981	56.5498155	0.005295057	0.001756986	Metabolism	Glycan biosynthesis and metabolism	Lipopolysaccharide biosynthesis	lpxK; tetraacyldisaccharide 4'-kinase
K00919	2471	2877	54.70976712	19.32568648	88.46863469	0.008783209	0.002653795	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis	ispE; 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
K00925	1101	2378	38.39360807	5.887300252	73.12423124	0.002505892	0.00031619	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	ackA; acetate kinase
K00927	458	3221	8.910276312	1.707544241	99.04674047	0.000503448	8.57E-05	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	"PGK, pgk; phosphoglycerate kinase"
K00928	814	3100	31.38709677	9.483870968	95.32595326	0.001296938	0.000361249	Metabolism	Amino acid metabolism	"Glycine, serine and threonine metabolism"	lysC; aspartate kinase
K00930	858	2912	11.16071429	3.64010989	89.54489545	0.001162816	0.000392793	Metabolism	Amino acid metabolism	Arginine biosynthesis	argB; acetylglutamate kinase
K00931	1487	2843	28.4910306	14.13999297	87.42312423	0.001968411	0.000936164	Metabolism	Amino acid metabolism	Arginine and proline metabolism	proB; glutamate 5-kinase
K00936	2031	1836	64.76034858	39.27015251	56.45756458	0.002953277	0.001164571	Metabolism	Protein kinases	Protein kinases	"pdtaS; two-component system, sensor histidine kinase PdtaS"
K00937	899	2608	67.13957055	19.63190184	80.19680197	0.001941809	0.000422813	Metabolism	Energy metabolism	Oxidative phosphorylation	ppk; polyphosphate kinase
K00939	960.5	3245	84.9614792	58.15100154	99.78474785	0.020148884	0.012542093	Metabolism	Nucleotide metabolism	Purine metabolism	"adk, AK; adenylate kinase"
K00940	441	2924	3.180574555	0.37619699	89.91389914	0.001293939	0.000128399	Metabolism	Nucleotide metabolism	Purine metabolism	"ndk, NME; nucleoside-diphosphate kinase"
K00941	2024	2488	44.37299035	18.24758842	76.50676507	0.006016792	0.002043812	Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism	thiD; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
K00942	1514.5	3214	95.20846297	35.87429994	98.83148831	0.024892288	0.009206666	Metabolism	Nucleotide metabolism	Purine metabolism	"E2.7.4.8, gmk; guanylate kinase"
K00943	1915	2803	22.33321441	9.882268998	86.19311193	0.003713944	0.001386903	Metabolism	Nucleotide metabolism	Pyrimidine metabolism	"tmk, DTYMK; dTMP kinase"
K00945	1972	2991	11.96924106	5.516549649	91.97416974	0.002120349	0.000943018	Metabolism	Nucleotide metabolism	Pyrimidine metabolism	cmk; CMP/dCMP kinase
K00946	2284.5	2334	56.08397601	29.3487575	71.77121771	0.007120839	0.002842498	Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism	thiL; thiamine-monophosphate kinase
K00948	653	3242	24.33682912	6.261566934	99.69249692	0.002354585	0.000533837	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	"PRPS, prsA; ribose-phosphate pyrophosphokinase"
K00949	2025	1126	29.12966252	11.19005329	34.62484625	0.007290144	0.002362055	Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism	"thiN, TPK1, THI80; thiamine pyrophosphokinase"
K00950	2503	2538	40.62253743	11.30811663	78.04428044	0.013577756	0.003269884	Metabolism	Metabolism of cofactors and vitamins	Folate biosynthesis	folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
K00951	743	2936	44.72070845	22.51362398	90.28290283	0.001169556	0.000558432	Metabolism	Nucleotide metabolism	Purine metabolism	relA; GTP pyrophosphokinase
K00954	1659.5	3213	26.39277933	5.882352941	98.80073801	0.010175916	0.002422092	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis	"E2.7.7.3A, coaD, kdtB; pantetheine-phosphate adenylyltransferase"
K00955	690	845	55.85798817	23.43195266	25.98400984	0.002009114	0.000691072	Metabolism	Energy metabolism	Sulfur metabolism	cysNC; bifunctional enzyme CysN/CysC
K00956	937	1133	16.50485437	5.295675199	34.8400984	0.000820471	0.000220221	Metabolism	Energy metabolism	Sulfur metabolism	cysN; sulfate adenylyltransferase subunit 1
K00957	610	1861	47.44760881	16.12036539	57.22632226	0.005996606	0.001967566	Metabolism	Energy metabolism	Sulfur metabolism	cysD; sulfate adenylyltransferase subunit 2
K00962	107	3202	88.28856964	11.39912555	98.46248462	0.002389371	0.000302671	Genetic Information Processing	"Folding, sorting and degradation"	RNA degradation	"pnp, PNPT1; polyribonucleotide nucleotidyltransferase"
K00963	980	2470	43.15789474	10.08097166	75.95325953	0.004539008	0.000765876	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	"UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase"
K00965	1433	1323	82.61526833	25.85034014	40.68265683	0.011256098	0.00259315	Metabolism	Carbohydrate metabolism	Galactose metabolism	"galT, GALT; UDPglucose--hexose-1-phosphate uridylyltransferase"
K00969	2209	3149	62.0514449	13.46459193	96.83271833	0.0210536	0.003380982	Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism	nadD; nicotinate-nucleotide adenylyltransferase
K00970	1350	2077	58.83485797	29.03225806	63.86838868	0.003831203	0.001496927	Genetic Information Processing	"Folding, sorting and degradation"	RNA degradation	pcnB; poly(A) polymerase
K00971	1502	1572	20.29262087	5.979643766	48.33948339	0.00135611	0.000355438	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism	"manC, cpsB; mannose-1-phosphate guanylyltransferase"
K00973	1292.5	2608	17.71472393	9.279141104	80.19680197	0.001609642	0.000731412	Metabolism	Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis	"rfbA, rmlA, rffH; glucose-1-phosphate thymidylyltransferase"
K00974	1614	1711	43.48334307	14.55289305	52.61377614	0.002662672	0.000744436	Genetic Information Processing	Translation	RNA transport	cca; tRNA nucleotidyltransferase (CCA-adding enzyme)
K00975	961.5	1793	93.58616843	37.98103737	55.13530135	0.008772779	0.001752332	Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism	glgC; glucose-1-phosphate adenylyltransferase
K00979	1825	1900	44.68421053	12.78947368	58.42558426	0.007897272	0.001994024	Metabolism	Glycan biosynthesis and metabolism	Lipopolysaccharide biosynthesis	kdsB; 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase)
K00981	1830.5	3246	27.29513247	9.396179914	99.81549815	0.003277859	0.000982226	Metabolism	Lipid metabolism	Glycerophospholipid metabolism	"E2.7.7.41, CDS1, CDS2, cdsA; phosphatidate cytidylyltransferase"
K00982	1637	1880	78.08510638	46.59574468	57.81057811	0.001307586	0.000587308	Metabolism	Enzymes with EC numbers	Enzymes with EC numbers	glnE; adenylyltransferase /-adenylyl-L-tyrosine phosphorylase
K00989	877	2354	45.0722175	8.326253186	72.38622386	0.006777114	0.001188511	Genetic Information Processing	Transfer RNA biogenesis	Transfer RNA biogenesis	rph; ribonuclease PH
K00990	1113	1719	65.32867946	32.1698662	52.8597786	0.001660376	0.000622264	Environmental Information Processing	Signal transduction	Two-component system	glnD; uridylyltransferase
K00991	2229	2039	25.20843551	10.20107896	62.699877	0.004128949	0.001377933	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis	ispD; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
K00995	1653	2666	19.76744186	9.227306827	81.9803198	0.00383072	0.001575603	Metabolism	Lipid metabolism	Glycerophospholipid metabolism	"pgsA, PGS1; CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase"
K00997	2133	2309	20.57167605	7.18925942	71.00246002	0.009777178	0.003042276	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis	acpS; holo-[acyl-carrier protein] synthase
K01000	844.5	3182	27.18416091	2.639849151	97.84747847	0.001960346	0.000165008	Metabolism	Glycan biosynthesis and metabolism	Peptidoglycan biosynthesis	mraY; phospho-N-acetylmuramoyl-pentapeptide-transferase
K01006	491.5	1521	99.27679158	69.16502301	46.77121771	0.002213443	0.000955188	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	"ppdK; pyruvate, orthophosphate dikinase"
K01007	1347	1533	58.90410959	33.20287019	47.1402214	0.002191516	0.000987433	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	"pps, ppsA; pyruvate, water dikinase"
K01008	1828	1388	53.74639769	29.46685879	42.68142681	0.004046295	0.0016677	Metabolism	Metabolism of other amino acids	Selenocompound metabolism	"selD, SEPHS; selenide, water dikinase"
K01011	1929	2222	53.96039604	26.28262826	68.32718327	0.005687957	0.00227087	Metabolism	Energy metabolism	Sulfur metabolism	"TST, MPST, sseA; thiosulfate/3-mercaptopyruvate sulfurtransferase"
K01012	1087.5	2211	25.73496156	10.35730439	67.98892989	0.002252636	0.000838191	Metabolism	Metabolism of cofactors and vitamins	Biotin metabolism	bioB; biotin synthase
K01028	852	1404	22.36467236	2.35042735	43.17343173	0.003079005	0.000243624	Metabolism	Carbohydrate metabolism	Butanoate metabolism	"E2.8.3.5A, scoA; 3-oxoacid CoA-transferase subunit A"
K01029	870	1397	12.31209735	5.225483178	42.95817958	0.002184588	0.001003093	Metabolism	Carbohydrate metabolism	Butanoate metabolism	"E2.8.3.5B, scoB; 3-oxoacid CoA-transferase subunit B"
K01042	1991.5	1024	50.390625	17.48046875	31.48831488	0.00363415	0.000860135	Metabolism	Metabolism of other amino acids	Selenocompound metabolism	selA; L-seryl-tRNA(Ser) seleniumtransferase
K01048	2227	864	43.86574074	26.04166667	26.56826568	0.005753207	0.002656571	Metabolism	Lipid metabolism	Glycerophospholipid metabolism	pldB; lysophospholipase
K01053	2194	885	58.1920904	18.4180791	27.21402214	0.004944561	0.001262187	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	"gnl, RGN; gluconolactonase"
K01055	2581	840	78.80952381	32.73809524	25.8302583	0.012225138	0.003765103	Metabolism	Xenobiotics biodegradation and metabolism	Benzoate degradation	pcaD; 3-oxoadipate enol-lactonase
K01056	1543.5	3237	52.08526413	27.21655854	99.53874539	0.014813901	0.006249794	Genetic Information Processing	Translation factors	Translation factors	"PTH1, pth, spoVC; peptidyl-tRNA hydrolase, PTH1 family"
K01057	2244	1760	62.21590909	43.01136364	54.12054121	0.014216079	0.009115815	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	"PGLS, pgl, devB; 6-phosphogluconolactonase"
K01061	2179.5	1544	49.87046632	21.95595855	47.47847478	0.005794536	0.002244169	Metabolism	Xenobiotics biodegradation and metabolism	Fluorobenzoate degradation	E3.1.1.45; carboxymethylenebutenolidase
K01066	2935	1076	88.10408922	38.47583643	33.08733087	0.012409807	0.003266033	Metabolism	Enzymes with EC numbers	Enzymes with EC numbers	aes; acetyl esterase
K01069	2157	1674	43.72759857	10.45400239	51.47601476	0.005272984	0.000868016	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	"gloB, gloC, HAGH; hydroxyacylglutathione hydrolase"
K01070	1619	1054	77.60910816	8.44402277	32.41082411	0.009905518	0.001147706	Metabolism	Energy metabolism	Methane metabolism	"frmB, ESD, fghA; S-formylglutathione hydrolase"
K01077	991	1214	29.40691928	8.731466227	37.33087331	0.001406911	0.000318638	Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism	"E3.1.3.1, phoA, phoB; alkaline phosphatase"
K01079	1617	1792	18.75	6.752232143	55.10455105	0.001855461	0.000512624	Metabolism	Energy metabolism	Methane metabolism	"serB, PSPH; phosphoserine phosphatase"
K01081	1146	1632	47.18137255	21.75245098	50.18450185	0.002684376	0.000878745	Metabolism	Nucleotide metabolism	Purine metabolism	E3.1.3.5; 5'-nucleotidase
K01082	2030	1512	39.94708995	17.46031746	46.49446494	0.006888192	0.002449927	Metabolism	Energy metabolism	Sulfur metabolism	"cysQ, MET22, BPNT1; 3'(2'), 5'-bisphosphate nucleotidase"
K01087	2833	967	68.14891417	37.84901758	29.73554736	0.013671973	0.006869055	Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism	otsB; trehalose 6-phosphate phosphatase
K01090	1908.5	1828	45.78774617	26.47702407	56.21156212	0.004806995	0.002159542	Metabolism	Enzymes with EC numbers	Enzymes with EC numbers	E3.1.3.16; protein phosphatase
K01091	2248	2438	61.68990976	36.99753897	74.96924969	0.007793022	0.003649566	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	gph; phosphoglycolate phosphatase
K01092	1826	2653	31.92612137	13.23030531	81.58056581	0.002865751	0.001036808	Metabolism	Carbohydrate metabolism	Inositol phosphate metabolism	"E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase"
K01095	1993.5	1152	25.86805556	16.14583333	35.42435424	0.013209316	0.008822554	Metabolism	Lipid metabolism	Glycerophospholipid metabolism	pgpA; phosphatidylglycerophosphatase A
K01104	2349	2720	48.05147059	21.32352941	83.64083641	0.010985906	0.003900522	Environmental Information Processing	Signal transduction	Two-component system	E3.1.3.48; protein-tyrosine phosphatase
K01113	1579	1066	68.57410882	37.99249531	32.7798278	0.002934907	0.001245907	Metabolism	Metabolism of cofactors and vitamins	Folate biosynthesis	phoD; alkaline phosphatase D
K01118	1863	1471	33.44663494	10.12916383	45.23370234	0.007146437	0.001774532	Metabolism	Enzymes with EC numbers	Enzymes with EC numbers	"acpD, azoR; FMN-dependent NADH-azoreductase"
K01119	798.5	922	73.86117137	15.40130152	28.35178352	0.002346955	0.000390005	Metabolism	Nucleotide metabolism	Purine metabolism	"cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase"
K01126	1976.75	2605	50.44145873	24.95201536	80.10455105	0.003892348	0.001419755	Metabolism	Lipid metabolism	Glycerophospholipid metabolism	"E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase"
K01129	1574	2525	76.07920792	15.84158416	77.64452645	0.005633731	0.000866626	Metabolism	Nucleotide metabolism	Purine metabolism	dgt; dGTPase
K01142	1271	2863	25.14844569	9.186168355	88.03813038	0.002433322	0.000833717	Genetic Information Processing	Replication and repair	Base excision repair	"E3.1.11.2, xthA; exodeoxyribonuclease III"
K01151	1349	1333	25.50637659	5.92648162	40.9901599	0.003138386	0.000631128	Genetic Information Processing	Replication and repair	Base excision repair	nfo; deoxyribonuclease IV
K01153	1140	1885	79.04509284	44.35013263	57.96432964	0.001678342	0.000606855	Cellular Processes	Prokaryotic defense system	Restriction and modification system	"hsdR; type I restriction enzyme, R subunit"
K01154	2897	1842	79.58740499	21.44408252	56.64206642	0.008075067	0.000955487	Cellular Processes	Prokaryotic defense system	Restriction and modification system	"hsdS; type I restriction enzyme, S subunit"
K01159	2223	2875	19.79130435	7.026086957	88.40713407	0.005510857	0.001770399	Genetic Information Processing	Replication and repair	Homologous recombination	ruvC; crossover junction endodeoxyribonuclease RuvC
K01179	1584	1485	67.27272727	31.38047138	45.66420664	0.004735972	0.001476684	Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism	E3.2.1.4; endoglucanase
K01187	1347	1903	88.64950079	44.61376774	58.51783518	0.004184478	0.001263837	Metabolism	Carbohydrate metabolism	Galactose metabolism	malZ; alpha-glucosidase
K01190	1518	978	92.84253579	51.43149284	30.07380074	0.002007002	0.000595868	Metabolism	Carbohydrate metabolism	Galactose metabolism	lacZ; beta-galactosidase
K01207	2007	2233	68.06986117	26.15315719	68.66543665	0.005150865	0.001310597	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism	nagZ; beta-N-acetylhexosaminidase
K01209	1123	826	69.37046005	30.75060533	25.399754	0.002333916	0.000708829	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism	abfA; alpha-L-arabinofuranosidase
K01239	1867	1058	44.9905482	23.6294896	32.53382534	0.004575552	0.001956169	Metabolism	Nucleotide metabolism	Purine metabolism	iunH; purine nucleosidase
K01241	1047.5	958	73.2776618	20.98121086	29.45879459	0.007065644	0.00105252	Metabolism	Nucleotide metabolism	Purine metabolism	amn; AMP nucleosidase
K01243	1626.5	1509	18.68787276	4.440026508	46.40221402	0.002968863	0.000575128	Metabolism	Amino acid metabolism	Cysteine and methionine metabolism	"mtnN, mtn, pfs; adenosylhomocysteine nucleosidase"
K01246	1866	2230	18.78923767	9.32735426	68.57318573	0.004665368	0.002400024	Genetic Information Processing	Replication and repair	Base excision repair	tag; DNA-3-methyladenine glycosylase I
K01247	2749.5	1407	37.95309168	15.13859275	43.26568266	0.007059757	0.002636624	Genetic Information Processing	Replication and repair	Base excision repair	alkA; DNA-3-methyladenine glycosylase II
K01251	129	2417	8.605709557	3.227141084	74.32349323	0.000396298	0.000172304	Metabolism	Amino acid metabolism	Cysteine and methionine metabolism	"E3.3.1.1, ahcY; adenosylhomocysteinase"
K01255	1136	2413	78.49150435	21.6742644	74.200492	0.003724688	0.000628113	Metabolism	Metabolism of other amino acids	Glutathione metabolism	"CARP, pepA; leucyl aminopeptidase"
K01256	902	2150	57.06976744	17.48837209	66.11316113	0.000942657	0.000203316	Metabolism	Metabolism of other amino acids	Glutathione metabolism	pepN; aminopeptidase N
K01258	892.5	1127	12.42236025	1.952085182	34.65559656	0.000691808	0.000108614	Metabolism	Peptidases and inhibitors	Peptidases and inhibitors	pepT; tripeptide aminopeptidase
K01259	2037	1639	60.34167175	16.8395363	50.399754	0.006139011	0.00119476	Metabolism	Amino acid metabolism	Arginine and proline metabolism	pip; proline iminopeptidase
K01262	1119	3059	43.64171298	21.47760706	94.06519065	0.002003721	0.000767235	Metabolism	Peptidases and inhibitors	Peptidases and inhibitors	pepP; Xaa-Pro aminopeptidase
K01265	1225	3251	43.34051061	25.22300831	99.96924969	0.004795384	0.002436109	Metabolism	Peptidases and inhibitors	Peptidases and inhibitors	map; methionyl aminopeptidase
K01271	1404	1182	51.52284264	26.22673435	36.34686347	0.003465498	0.001367933	Metabolism	Peptidases and inhibitors	Peptidases and inhibitors	pepQ; Xaa-Pro dipeptidase
K01273	1624	1508	44.82758621	17.24137931	46.37146371	0.003708945	0.001173617	Metabolism	Peptidases and inhibitors	Peptidases and inhibitors	DPEP; membrane dipeptidase
K01284	926	1298	79.42989214	24.9614792	39.91389914	0.002404647	0.000447204	Metabolism	Peptidases and inhibitors	Peptidases and inhibitors	dcp; peptidyl-dipeptidase Dcp
K01286	2205	1216	71.46381579	51.48026316	37.39237392	0.005933799	0.002323467	Metabolism	Enzymes with EC numbers	Enzymes with EC numbers	E3.4.16.4; D-alanyl-D-alanine carboxypeptidase
K01295	1847	839	75.44696067	12.15733015	25.799508	0.005188379	0.000543447	Metabolism	Peptidases and inhibitors	Peptidases and inhibitors	cpg; glutamate carboxypeptidase
K01297	2247	1219	55.04511895	19.19606235	37.48462485	0.007497807	0.002227139	Metabolism	Peptidases and inhibitors	Peptidases and inhibitors	ldcA; muramoyltetrapeptide carboxypeptidase
K01299	1209	894	49.10514541	15.99552573	27.49077491	0.002326453	0.000640952	Metabolism	Peptidases and inhibitors	Peptidases and inhibitors	E3.4.17.19; carboxypeptidase Taq
K01322	1137	1180	68.38983051	22.88135593	36.28536285	0.002026798	0.000452764	Metabolism	Peptidases and inhibitors	Peptidases and inhibitors	PREP; prolyl oligopeptidase
K01338	575	2741	97.77453484	96.42466253	84.28659287	0.003258123	0.002072917	Cellular Processes	Cell growth and death	Cell cycle - Caulobacter	lon; ATP-dependent Lon protease
K01354	935	1263	82.58115598	16.78543151	38.83763838	0.002543565	0.000301438	Environmental Information Processing	Infectious disease: parasitic	Chagas disease	ptrB; oligopeptidase B
K01356	1661.5	2547	86.45465253	57.47938751	78.32103321	0.020727892	0.010510541	Metabolism	Peptidases and inhibitors	Peptidases and inhibitors	lexA; repressor LexA
K01358	763	3200	13.90625	5.34375	98.40098401	0.002540318	0.000954138	Cellular Processes	Cell growth and death	Cell cycle - Caulobacter	"clpP, CLPP; ATP-dependent Clp protease, protease subunit"
K01409	1654.5	3245	72.04930663	26.81047766	99.78474785	0.006573753	0.001963063	Genetic Information Processing	Transfer RNA biogenesis	Transfer RNA biogenesis	"KAE1, tsaD, QRI7; N6-L-threonylcarbamoyladenine synthase"
K01414	686	818	87.28606357	21.88264059	25.15375154	0.003092079	0.000487204	Metabolism	Peptidases and inhibitors	Peptidases and inhibitors	prlC; oligopeptidase A
K01419	883	1930	4.196891192	0.569948187	59.34809348	0.001019279	0.000132413	Metabolism	Peptidases and inhibitors	Peptidases and inhibitors	"hslV, clpQ; ATP-dependent HslUV protease, peptidase subunit HslV"
K01420	1712	2229	15.74697174	5.787348587	68.54243542	0.001954739	0.000604046	Genetic Information Processing	Transcription factors	Transcription factors	"fnr; CRP/FNR family transcriptional regulator, anaerobic regulatory protein"
K01424	1765.5	2096	46.99427481	12.21374046	64.45264453	0.005431592	0.001146073	Metabolism	Amino acid metabolism	"Alanine, aspartate and glutamate metabolism"	"E3.5.1.1, ansA, ansB; L-asparaginase"
K01425	1812.5	1185	35.18987342	9.367088608	36.43911439	0.003004886	0.000556451	Metabolism	Amino acid metabolism	"Alanine, aspartate and glutamate metabolism"	"glsA, GLS; glutaminase"
K01426	2228	1783	74.59338194	49.85978688	54.82779828	0.00534385	0.002079301	Metabolism	Amino acid metabolism	Arginine and proline metabolism	"E3.5.1.4, amiE; amidase"
K01428	758	1172	6.655290102	2.730375427	36.03936039	0.000173813	5.82E-05	Metabolism	Nucleotide metabolism	Purine metabolism	ureC; urease subunit alpha
K01429	2812	1024	6.0546875	2.734375	31.48831488	0.003532401	0.001761739	Metabolism	Nucleotide metabolism	Purine metabolism	ureB; urease subunit beta
K01430	1806	1073	0.465983225	NA	32.99507995	0.000251124	0	Metabolism	Nucleotide metabolism	Purine metabolism	ureA; urease subunit gamma
K01433	991	1924	17.0997921	3.898128898	59.16359164	0.00172559	0.000333444	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	purU; formyltetrahydrofolate deformylase
K01434	1686	1169	84.85885372	41.74508127	35.94710947	0.0024326	0.000796869	Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis	pac; penicillin G amidase
K01436	1577	1167	73.6075407	26.22107969	35.88560886	0.004460989	0.001594142	Metabolism	Peptidases and inhibitors	Peptidases and inhibitors	yhaA; amidohydrolase
K01438	1775.5	1603	66.62507798	28.8209607	49.29274293	0.005811992	0.001504163	Metabolism	Amino acid metabolism	Arginine biosynthesis	argE; acetylornithine deacetylase
K01439	1428	2325	74.4516129	28.25806452	71.49446494	0.006602328	0.001374549	Metabolism	Amino acid metabolism	Lysine biosynthesis	dapE; succinyl-diaminopimelate desuccinylase
K01443	2021	1988	42.85714286	18.86317907	61.13161132	0.003166026	0.001072787	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism	"nagA, AMDHD2; N-acetylglucosamine-6-phosphate deacetylase"
K01447	2422	859	46.79860303	25.02910361	26.41451415	0.008883011	0.003982986	Metabolism	Enzymes with EC numbers	Enzymes with EC numbers	xlyAB; N-acetylmuramoyl-L-alanine amidase
K01448	1889	2798	61.6154396	35.45389564	86.03936039	0.005610232	0.002407962	Environmental Information Processing	Drug resistance: antimicrobial	Cationic antimicrobial peptide (CAMP) resistance	amiABC; N-acetylmuramoyl-L-alanine amidase
K01451	1583.5	1480	64.18918919	18.71621622	45.5104551	0.002949946	0.000600221	Metabolism	Amino acid metabolism	Phenylalanine metabolism	hipO; hippurate hydrolase
K01462	1359	3242	20.29611351	9.099321407	99.69249692	0.004158484	0.001610456	Metabolism	Enzymes with EC numbers	Enzymes with EC numbers	"PDF, def; peptide deformylase"
K01464	876.5	1025	87.70731707	42.92682927	31.51906519	0.005782828	0.001525491	Metabolism	Nucleotide metabolism	Pyrimidine metabolism	"DPYS, dht, hydA; dihydropyrimidinase"
K01465	1256	3133	96.61666135	13.78870093	96.34071341	0.00648454	0.000613267	Metabolism	Nucleotide metabolism	Pyrimidine metabolism	"URA4, pyrC; dihydroorotase"
